,time,Agent(0),Agent(1),Agent(2),Agent(3),Agent(4),Agent(5),Agent(6),Agent(7)
25,25.0,"(θ(3), ϕ), 66.7%, time=3.00 [T]","(θ(3), ϕ), 66.7%, time=3.00 [T]","(θ(3), ϕ), 66.7%, time=3.00 [T]","(θ(3), ϕ), 66.7%, time=3.00 [T]","(θ(3), ϕ), 66.7%, time=3.00 [T]","(θ(3), ϕ), 66.7%, time=2.00 [T]","(θ(3), ϕ), 66.7%, time=2.00 [T]","(θ(4), ϕ), 73.3%, time=5.00 [T]"
26,26.0,"(θ(3), ϕ), 66.7%, time=4.00 [T]","(θ(3), ϕ), 66.7%, time=4.00 [T]","(θ(3), ϕ), 66.7%, time=4.00 [T]","(θ(3), ϕ), 66.7%, time=4.00 [T]","(θ(3), ϕ), 66.7%, time=4.00 [T]","(θ(3), ϕ), 66.7%, time=3.00 [T]","(θ(3), ϕ), 66.7%, time=3.00 [T]","(θ(4), ϕ), 73.3%, time=6.00 [T]"
27,27.0,"(θ(3), ϕ), 66.7%, time=5.00 [T]","(θ(3), ϕ), 66.7%, time=5.00 [T]","(θ(3), ϕ), 66.7%, time=5.00 [T]","(θ(3), ϕ), 66.7%, time=5.00 [T]","(θ(3), ϕ), 66.7%, time=5.00 [T]","(θ(3), ϕ), 66.7%, time=4.00 [T]","(θ(3), ϕ), 66.7%, time=4.00 [T]","(θ(4), ϕ), 73.3%, time=7.00 [T]"
28,28.0,"(θ(3), ϕ), 60.0%, time=0.00 ","(θ(3), ϕ), 60.0%, time=0.00 ","(θ(3), ϕ), 60.0%, time=0.00 ","(θ(3), ϕ), 60.0%, time=0.00 ","(θ(3), ϕ), 60.0%, time=0.00 ","(θ(3), ϕ), 66.7%, time=5.00 [T]","(θ(3), ϕ), 66.7%, time=5.00 [T]","(θ(4), ϕ), 73.3%, time=8.00 [T]"
29,29.0,"(θ(3), ϕ), 60.0%, time=1.00 ","(θ(3), ϕ), 60.0%, time=1.00 ","(θ(3), ϕ), 60.0%, time=1.00 ","(θ(3), ϕ), 60.0%, time=1.00 ","(θ(3), ϕ), 60.0%, time=1.00 ","(θ(3), ϕ), 60.0%, time=0.00 ","(θ(3), ϕ), 60.0%, time=0.00 ","(θ(4), ϕ), 73.3%, time=9.00 [T]"
30,30.0,"(θ(4), ϕ), 60.0%, time=0.00 [T]","(θ(4), ϕ), 60.0%, time=0.00 [T]","(θ(4), ϕ), 60.0%, time=0.00 [T]","(θ(4), ϕ), 60.0%, time=0.00 [T]","(θ(4), ϕ), 60.0%, time=0.00 [T]","(θ(3), ϕ), 60.0%, time=1.00 ","(θ(3), ϕ), 60.0%, time=1.00 ","(θ(4), ϕ), 73.3%, time=10.00 [T]"
31,31.0,"(θ(4), ϕ), 60.0%, time=1.00 [T]","(θ(4), ϕ), 60.0%, time=1.00 [T]","(θ(4), ϕ), 60.0%, time=1.00 [T]","(θ(4), ϕ), 60.0%, time=1.00 [T]","(θ(4), ϕ), 60.0%, time=1.00 [T]","(θ(4), ϕ), 60.0%, time=0.00 [T]","(θ(4), ϕ), 60.0%, time=0.00 [T]","(θ(4), ϕ), 46.7%, time=0.00 "
32,32.0,"(θ(4), ϕ), 60.0%, time=2.00 [T]","(θ(4), ϕ), 60.0%, time=2.00 [T]","(θ(4), ϕ), 60.0%, time=2.00 [T]","(θ(4), ϕ), 60.0%, time=2.00 [T]","(θ(4), ϕ), 60.0%, time=2.00 [T]","(θ(4), ϕ), 60.0%, time=1.00 [T]","(θ(4), ϕ), 60.0%, time=1.00 [T]","(θ(4), ϕ), 46.7%, time=1.00 "
33,33.0,"(θ(4), ϕ), 60.0%, time=3.00 [T]","(θ(4), ϕ), 60.0%, time=3.00 [T]","(θ(4), ϕ), 60.0%, time=3.00 [T]","(θ(4), ϕ), 60.0%, time=3.00 [T]","(θ(4), ϕ), 60.0%, time=3.00 [T]","(θ(4), ϕ), 60.0%, time=2.00 [T]","(θ(4), ϕ), 60.0%, time=2.00 [T]","(θ(5), ϕ), 46.7%, time=0.00 [T]"
34,34.0,"(θ(4), ϕ), 60.0%, time=4.00 [T]","(θ(4), ϕ), 60.0%, time=4.00 [T]","(θ(4), ϕ), 60.0%, time=4.00 [T]","(θ(4), ϕ), 60.0%, time=4.00 [T]","(θ(4), ϕ), 60.0%, time=4.00 [T]","(θ(4), ϕ), 60.0%, time=3.00 [T]","(θ(4), ϕ), 60.0%, time=3.00 [T]","(θ(5), ϕ), 46.7%, time=1.00 [T]"
35,35.0,"(θ(4), ϕ), 60.0%, time=5.00 [T]","(θ(4), ϕ), 60.0%, time=5.00 [T]","(θ(4), ϕ), 60.0%, time=5.00 [T]","(θ(4), ϕ), 60.0%, time=5.00 [T]","(θ(4), ϕ), 60.0%, time=5.00 [T]","(θ(4), ϕ), 60.0%, time=4.00 [T]","(θ(4), ϕ), 60.0%, time=4.00 [T]","(θ(5), ϕ), 46.7%, time=2.00 [T]"
36,36.0,"(θ(4), ϕ), 60.0%, time=6.00 [T]","(θ(4), ϕ), 60.0%, time=6.00 [T]","(θ(4), ϕ), 60.0%, time=6.00 [T]","(θ(4), ϕ), 60.0%, time=6.00 [T]","(θ(4), ϕ), 60.0%, time=6.00 [T]","(θ(4), ϕ), 60.0%, time=5.00 [T]","(θ(4), ϕ), 60.0%, time=5.00 [T]","(θ(5), ϕ), 46.7%, time=3.00 [T]"
37,37.0,"(θ(4), ϕ), 60.0%, time=7.00 [T]","(θ(4), ϕ), 60.0%, time=7.00 [T]","(θ(4), ϕ), 60.0%, time=7.00 [T]","(θ(4), ϕ), 60.0%, time=7.00 [T]","(θ(4), ϕ), 60.0%, time=7.00 [T]","(θ(4), ϕ), 60.0%, time=6.00 [T]","(θ(4), ϕ), 60.0%, time=6.00 [T]","(θ(5), ϕ), 46.7%, time=4.00 [T]"
38,38.0,"(θ(4), ϕ), 60.0%, time=8.00 [T]","(θ(4), ϕ), 60.0%, time=8.00 [T]","(θ(4), ϕ), 60.0%, time=8.00 [T]","(θ(4), ϕ), 60.0%, time=8.00 [T]","(θ(4), ϕ), 60.0%, time=8.00 [T]","(θ(4), ϕ), 60.0%, time=7.00 [T]","(θ(4), ϕ), 60.0%, time=7.00 [T]","(θ(5), ϕ), 46.7%, time=5.00 [T]"
39,39.0,"(θ(4), ϕ), 60.0%, time=9.00 [T]","(θ(4), ϕ), 60.0%, time=9.00 [T]","(θ(4), ϕ), 60.0%, time=9.00 [T]","(θ(4), ϕ), 60.0%, time=9.00 [T]","(θ(4), ϕ), 60.0%, time=9.00 [T]","(θ(4), ϕ), 60.0%, time=8.00 [T]","(θ(4), ϕ), 60.0%, time=8.00 [T]","(θ(5), ϕ), 46.7%, time=6.00 [T]"
40,40.0,"(θ(4), ϕ), 60.0%, time=10.00 [T]","(θ(4), ϕ), 60.0%, time=10.00 [T]","(θ(4), ϕ), 60.0%, time=10.00 [T]","(θ(4), ϕ), 60.0%, time=10.00 [T]","(θ(4), ϕ), 60.0%, time=10.00 [T]","(θ(4), ϕ), 60.0%, time=9.00 [T]","(θ(4), ϕ), 60.0%, time=9.00 [T]","(θ(5), ϕ), 46.7%, time=7.00 [T]"
41,41.0,"(θ(4), ϕ), 33.3%, time=0.00 ","(θ(4), ϕ), 33.3%, time=0.00 ","(θ(4), ϕ), 33.3%, time=0.00 ","(θ(4), ϕ), 33.3%, time=0.00 ","(θ(4), ϕ), 33.3%, time=0.00 ","(θ(4), ϕ), 60.0%, time=10.00 [T]","(θ(4), ϕ), 60.0%, time=10.00 [T]","(θ(5), ϕ), 46.7%, time=8.00 [T]"
