,time,Agent(0),Agent(1),Agent(2),Agent(3),Agent(4),Agent(5),Agent(6),Agent(7)
67,67.0,"(C(7), c), -20.0%, time=0.00 ","(C(7), c), -20.0%, time=0.00 ","(C(7), c), -20.0%, time=0.00 ","(C(7), c), -20.0%, time=0.00 ","(C(7), c), -20.0%, time=0.00 ","(C(7), c), 6.7%, time=10.00 [T]","(C(7), c), 6.7%, time=10.00 [T]","(θ(5), ϕ), -20.0%, time=2.00 [T]"
68,68.0,"(C(7), c), -20.0%, time=1.00 ","(C(7), c), -20.0%, time=1.00 ","(C(7), c), -20.0%, time=1.00 ","(C(7), c), -20.0%, time=1.00 ","(C(7), c), -20.0%, time=1.00 ","(C(7), c), -20.0%, time=0.00 ","(C(7), c), -20.0%, time=0.00 ","(θ(5), ϕ), -20.0%, time=3.00 [T]"
69,69.0,"(X(6), x), -20.0%, time=0.00 [T]","(X(6), x), -20.0%, time=0.00 [T]","(X(6), x), -20.0%, time=0.00 [T]","(X(6), x), -20.0%, time=0.00 [T]","(X(6), x), -20.0%, time=0.00 [T]","(C(7), c), -20.0%, time=1.00 ","(C(7), c), -20.0%, time=1.00 ","(θ(5), ϕ), -20.0%, time=4.00 [T]"
70,70.0,"(X(6), x), -20.0%, time=1.00 [T]","(X(6), x), -20.0%, time=1.00 [T]","(X(6), x), -20.0%, time=1.00 [T]","(X(6), x), -20.0%, time=1.00 [T]","(X(6), x), -20.0%, time=1.00 [T]","(X(6), x), -20.0%, time=0.00 [T]","(X(6), x), -20.0%, time=0.00 [T]","(θ(5), ϕ), -20.0%, time=5.00 [T]"
71,71.0,"(X(6), x), -20.0%, time=2.00 [T]","(X(6), x), -20.0%, time=2.00 [T]","(X(6), x), -20.0%, time=2.00 [T]","(X(6), x), -20.0%, time=2.00 [T]","(X(6), x), -20.0%, time=2.00 [T]","(X(6), x), -20.0%, time=1.00 [T]","(X(6), x), -20.0%, time=1.00 [T]","(θ(5), ϕ), -20.0%, time=6.00 [T]"
72,72.0,"(X(6), x), -20.0%, time=3.00 [T]","(X(6), x), -20.0%, time=3.00 [T]","(X(6), x), -20.0%, time=3.00 [T]","(X(6), x), -20.0%, time=3.00 [T]","(X(6), x), -20.0%, time=3.00 [T]","(X(6), x), -20.0%, time=2.00 [T]","(X(6), x), -20.0%, time=2.00 [T]","(θ(5), ϕ), -20.0%, time=7.00 [T]"
73,73.0,"(X(6), x), -33.3%, time=0.00 ","(X(6), x), -33.3%, time=0.00 ","(X(6), x), -33.3%, time=0.00 ","(X(6), x), -33.3%, time=0.00 ","(X(6), x), -33.3%, time=0.00 ","(X(6), x), -20.0%, time=3.00 [T]","(X(6), x), -20.0%, time=3.00 [T]","(θ(5), ϕ), -20.0%, time=8.00 [T]"
74,74.0,"(X(6), x), -33.3%, time=1.00 ","(X(6), x), -33.3%, time=1.00 ","(X(6), x), -33.3%, time=1.00 ","(X(6), x), -33.3%, time=1.00 ","(X(6), x), -33.3%, time=1.00 ","(X(6), x), -33.3%, time=0.00 ","(X(6), x), -33.3%, time=0.00 ","(θ(5), ϕ), -20.0%, time=9.00 [T]"
75,75.0,"(θ(5), ϕ), -33.3%, time=0.00 [T]","(θ(5), ϕ), -33.3%, time=0.00 [T]","(θ(5), ϕ), -33.3%, time=0.00 [T]","(θ(5), ϕ), -33.3%, time=0.00 [T]","(θ(5), ϕ), -33.3%, time=0.00 [T]","(X(6), x), -33.3%, time=1.00 ","(X(6), x), -33.3%, time=1.00 ","(θ(5), ϕ), -20.0%, time=10.00 [T]"
76,76.0,"(θ(5), ϕ), -33.3%, time=1.00 [T]","(θ(5), ϕ), -33.3%, time=1.00 [T]","(θ(5), ϕ), -33.3%, time=1.00 [T]","(θ(5), ϕ), -33.3%, time=1.00 [T]","(θ(5), ϕ), -33.3%, time=1.00 [T]","(θ(5), ϕ), -33.3%, time=0.00 [T]","(θ(5), ϕ), -33.3%, time=0.00 [T]","(θ(5), ϕ), -20.0%, time=11.00 [T]"
77,77.0,"(θ(5), ϕ), -33.3%, time=2.00 [T]","(θ(5), ϕ), -33.3%, time=2.00 [T]","(θ(5), ϕ), -33.3%, time=2.00 [T]","(θ(5), ϕ), -33.3%, time=2.00 [T]","(θ(5), ϕ), -33.3%, time=2.00 [T]","(θ(5), ϕ), -33.3%, time=1.00 [T]","(θ(5), ϕ), -33.3%, time=1.00 [T]","(θ(5), ϕ), -20.0%, time=12.00 [T]"
78,78.0,"(θ(5), ϕ), -33.3%, time=3.00 [T]","(θ(5), ϕ), -33.3%, time=3.00 [T]","(θ(5), ϕ), -33.3%, time=3.00 [T]","(θ(5), ϕ), -33.3%, time=3.00 [T]","(θ(5), ϕ), -33.3%, time=3.00 [T]","(θ(5), ϕ), -33.3%, time=2.00 [T]","(θ(5), ϕ), -33.3%, time=2.00 [T]","(θ(5), ϕ), -20.0%, time=13.00 [T]"
79,79.0,"(θ(5), ϕ), -33.3%, time=4.00 [T]","(θ(5), ϕ), -33.3%, time=4.00 [T]","(θ(5), ϕ), -33.3%, time=4.00 [T]","(θ(5), ϕ), -33.3%, time=4.00 [T]","(θ(5), ϕ), -33.3%, time=4.00 [T]","(θ(5), ϕ), -33.3%, time=3.00 [T]","(θ(5), ϕ), -33.3%, time=3.00 [T]","(θ(5), ϕ), -20.0%, time=14.00 [T]"
80,80.0,"(θ(5), ϕ), -33.3%, time=5.00 [T]","(θ(5), ϕ), -33.3%, time=5.00 [T]","(θ(5), ϕ), -33.3%, time=5.00 [T]","(θ(5), ϕ), -33.3%, time=5.00 [T]","(θ(5), ϕ), -33.3%, time=5.00 [T]","(θ(5), ϕ), -33.3%, time=4.00 [T]","(θ(5), ϕ), -33.3%, time=4.00 [T]","(θ(5), ϕ), -20.0%, time=15.00 [T]"
81,81.0,"(θ(5), ϕ), -33.3%, time=6.00 [T]","(θ(5), ϕ), -33.3%, time=6.00 [T]","(θ(5), ϕ), -33.3%, time=6.00 [T]","(θ(5), ϕ), -33.3%, time=6.00 [T]","(θ(5), ϕ), -33.3%, time=6.00 [T]","(θ(5), ϕ), -33.3%, time=5.00 [T]","(θ(5), ϕ), -33.3%, time=5.00 [T]","(θ(5), ϕ), -53.3%, time=0.00 "
82,82.0,"(θ(5), ϕ), -33.3%, time=7.00 [T]","(θ(5), ϕ), -33.3%, time=7.00 [T]","(θ(5), ϕ), -33.3%, time=7.00 [T]","(θ(5), ϕ), -33.3%, time=7.00 [T]","(θ(5), ϕ), -33.3%, time=7.00 [T]","(θ(5), ϕ), -33.3%, time=6.00 [T]","(θ(5), ϕ), -33.3%, time=6.00 [T]","(θ(5), ϕ), -53.3%, time=1.00 "
83,83.0,"(θ(5), ϕ), -33.3%, time=8.00 [T]","(θ(5), ϕ), -33.3%, time=8.00 [T]","(θ(5), ϕ), -33.3%, time=8.00 [T]","(θ(5), ϕ), -33.3%, time=8.00 [T]","(θ(5), ϕ), -33.3%, time=8.00 [T]","(θ(5), ϕ), -33.3%, time=7.00 [T]","(θ(5), ϕ), -33.3%, time=7.00 [T]","(θ(4), ϕ), -53.3%, time=0.00 [T]"
84,84.0,"(θ(5), ϕ), -33.3%, time=9.00 [T]","(θ(5), ϕ), -33.3%, time=9.00 [T]","(θ(5), ϕ), -33.3%, time=9.00 [T]","(θ(5), ϕ), -33.3%, time=9.00 [T]","(θ(5), ϕ), -33.3%, time=9.00 [T]","(θ(5), ϕ), -33.3%, time=8.00 [T]","(θ(5), ϕ), -33.3%, time=8.00 [T]","(θ(4), ϕ), -53.3%, time=1.00 [T]"
85,85.0,"(θ(5), ϕ), -33.3%, time=10.00 [T]","(θ(5), ϕ), -33.3%, time=10.00 [T]","(θ(5), ϕ), -33.3%, time=10.00 [T]","(θ(5), ϕ), -33.3%, time=10.00 [T]","(θ(5), ϕ), -33.3%, time=10.00 [T]","(θ(5), ϕ), -33.3%, time=9.00 [T]","(θ(5), ϕ), -33.3%, time=9.00 [T]","(θ(4), ϕ), -53.3%, time=2.00 [T]"
86,86.0,"(θ(5), ϕ), -33.3%, time=11.00 [T]","(θ(5), ϕ), -33.3%, time=11.00 [T]","(θ(5), ϕ), -33.3%, time=11.00 [T]","(θ(5), ϕ), -33.3%, time=11.00 [T]","(θ(5), ϕ), -33.3%, time=11.00 [T]","(θ(5), ϕ), -33.3%, time=10.00 [T]","(θ(5), ϕ), -33.3%, time=10.00 [T]","(θ(4), ϕ), -53.3%, time=3.00 [T]"
87,87.0,"(θ(5), ϕ), -33.3%, time=12.00 [T]","(θ(5), ϕ), -33.3%, time=12.00 [T]","(θ(5), ϕ), -33.3%, time=12.00 [T]","(θ(5), ϕ), -33.3%, time=12.00 [T]","(θ(5), ϕ), -33.3%, time=12.00 [T]","(θ(5), ϕ), -33.3%, time=11.00 [T]","(θ(5), ϕ), -33.3%, time=11.00 [T]","(θ(4), ϕ), -53.3%, time=4.00 [T]"
88,88.0,"(θ(5), ϕ), -33.3%, time=13.00 [T]","(θ(5), ϕ), -33.3%, time=13.00 [T]","(θ(5), ϕ), -33.3%, time=13.00 [T]","(θ(5), ϕ), -33.3%, time=13.00 [T]","(θ(5), ϕ), -33.3%, time=13.00 [T]","(θ(5), ϕ), -33.3%, time=12.00 [T]","(θ(5), ϕ), -33.3%, time=12.00 [T]","(θ(4), ϕ), -53.3%, time=5.00 [T]"
89,89.0,"(θ(5), ϕ), -33.3%, time=14.00 [T]","(θ(5), ϕ), -33.3%, time=14.00 [T]","(θ(5), ϕ), -33.3%, time=14.00 [T]","(θ(5), ϕ), -33.3%, time=14.00 [T]","(θ(5), ϕ), -33.3%, time=14.00 [T]","(θ(5), ϕ), -33.3%, time=13.00 [T]","(θ(5), ϕ), -33.3%, time=13.00 [T]","(θ(4), ϕ), -53.3%, time=6.00 [T]"
90,90.0,"(θ(5), ϕ), -33.3%, time=15.00 [T]","(θ(5), ϕ), -33.3%, time=15.00 [T]","(θ(5), ϕ), -33.3%, time=15.00 [T]","(θ(5), ϕ), -33.3%, time=15.00 [T]","(θ(5), ϕ), -33.3%, time=15.00 [T]","(θ(5), ϕ), -33.3%, time=14.00 [T]","(θ(5), ϕ), -33.3%, time=14.00 [T]","(θ(4), ϕ), -53.3%, time=7.00 [T]"
91,91.0,"(θ(5), ϕ), -66.7%, time=0.00 ","(θ(5), ϕ), -66.7%, time=0.00 ","(θ(5), ϕ), -66.7%, time=0.00 ","(θ(5), ϕ), -66.7%, time=0.00 ","(θ(5), ϕ), -66.7%, time=0.00 ","(θ(5), ϕ), -33.3%, time=15.00 [T]","(θ(5), ϕ), -33.3%, time=15.00 [T]","(θ(4), ϕ), -53.3%, time=8.00 [T]"
92,92.0,"(θ(5), ϕ), -66.7%, time=1.00 ","(θ(5), ϕ), -66.7%, time=1.00 ","(θ(5), ϕ), -66.7%, time=1.00 ","(θ(5), ϕ), -66.7%, time=1.00 ","(θ(5), ϕ), -66.7%, time=1.00 ","(θ(5), ϕ), -66.7%, time=0.00 ","(θ(5), ϕ), -66.7%, time=0.00 ","(θ(4), ϕ), -53.3%, time=9.00 [T]"
93,93.0,"(θ(4), ϕ), -66.7%, time=0.00 [T]","(θ(4), ϕ), -66.7%, time=0.00 [T]","(θ(4), ϕ), -66.7%, time=0.00 [T]","(θ(4), ϕ), -66.7%, time=0.00 [T]","(θ(4), ϕ), -66.7%, time=0.00 [T]","(θ(5), ϕ), -66.7%, time=1.00 ","(θ(5), ϕ), -66.7%, time=1.00 ","(θ(4), ϕ), -53.3%, time=10.00 [T]"
94,94.0,"(θ(4), ϕ), -66.7%, time=1.00 [T]","(θ(4), ϕ), -66.7%, time=1.00 [T]","(θ(4), ϕ), -66.7%, time=1.00 [T]","(θ(4), ϕ), -66.7%, time=1.00 [T]","(θ(4), ϕ), -66.7%, time=1.00 [T]","(θ(4), ϕ), -66.7%, time=0.00 [T]","(θ(4), ϕ), -66.7%, time=0.00 [T]","(θ(4), ϕ), -80.0%, time=0.00 "
95,95.0,"(θ(4), ϕ), -66.7%, time=2.00 [T]","(θ(4), ϕ), -66.7%, time=2.00 [T]","(θ(4), ϕ), -66.7%, time=2.00 [T]","(θ(4), ϕ), -66.7%, time=2.00 [T]","(θ(4), ϕ), -66.7%, time=2.00 [T]","(θ(4), ϕ), -66.7%, time=1.00 [T]","(θ(4), ϕ), -66.7%, time=1.00 [T]","(θ(4), ϕ), -80.0%, time=1.00 "
96,96.0,"(θ(4), ϕ), -66.7%, time=3.00 [T]","(θ(4), ϕ), -66.7%, time=3.00 [T]","(θ(4), ϕ), -66.7%, time=3.00 [T]","(θ(4), ϕ), -66.7%, time=3.00 [T]","(θ(4), ϕ), -66.7%, time=3.00 [T]","(θ(4), ϕ), -66.7%, time=2.00 [T]","(θ(4), ϕ), -66.7%, time=2.00 [T]","(θ(3), ϕ), -80.0%, time=0.00 [T]"
97,97.0,"(θ(4), ϕ), -66.7%, time=4.00 [T]","(θ(4), ϕ), -66.7%, time=4.00 [T]","(θ(4), ϕ), -66.7%, time=4.00 [T]","(θ(4), ϕ), -66.7%, time=4.00 [T]","(θ(4), ϕ), -66.7%, time=4.00 [T]","(θ(4), ϕ), -66.7%, time=3.00 [T]","(θ(4), ϕ), -66.7%, time=3.00 [T]","(θ(3), ϕ), -80.0%, time=1.00 [T]"
98,98.0,"(θ(4), ϕ), -66.7%, time=5.00 [T]","(θ(4), ϕ), -66.7%, time=5.00 [T]","(θ(4), ϕ), -66.7%, time=5.00 [T]","(θ(4), ϕ), -66.7%, time=5.00 [T]","(θ(4), ϕ), -66.7%, time=5.00 [T]","(θ(4), ϕ), -66.7%, time=4.00 [T]","(θ(4), ϕ), -66.7%, time=4.00 [T]","(θ(3), ϕ), -80.0%, time=2.00 [T]"
99,99.0,"(θ(4), ϕ), -66.7%, time=6.00 [T]","(θ(4), ϕ), -66.7%, time=6.00 [T]","(θ(4), ϕ), -66.7%, time=6.00 [T]","(θ(4), ϕ), -66.7%, time=6.00 [T]","(θ(4), ϕ), -66.7%, time=6.00 [T]","(θ(4), ϕ), -66.7%, time=5.00 [T]","(θ(4), ϕ), -66.7%, time=5.00 [T]","(θ(3), ϕ), -80.0%, time=3.00 [T]"
100,100.0,"(θ(4), ϕ), -66.7%, time=7.00 [T]","(θ(4), ϕ), -66.7%, time=7.00 [T]","(θ(4), ϕ), -66.7%, time=7.00 [T]","(θ(4), ϕ), -66.7%, time=7.00 [T]","(θ(4), ϕ), -66.7%, time=7.00 [T]","(θ(4), ϕ), -66.7%, time=6.00 [T]","(θ(4), ϕ), -66.7%, time=6.00 [T]","(θ(3), ϕ), -80.0%, time=4.00 [T]"
101,101.0,"(θ(4), ϕ), -66.7%, time=8.00 [T]","(θ(4), ϕ), -66.7%, time=8.00 [T]","(θ(4), ϕ), -66.7%, time=8.00 [T]","(θ(4), ϕ), -66.7%, time=8.00 [T]","(θ(4), ϕ), -66.7%, time=8.00 [T]","(θ(4), ϕ), -66.7%, time=7.00 [T]","(θ(4), ϕ), -66.7%, time=7.00 [T]","(θ(3), ϕ), -80.0%, time=5.00 [T]"
102,102.0,"(θ(4), ϕ), -66.7%, time=9.00 [T]","(θ(4), ϕ), -66.7%, time=9.00 [T]","(θ(4), ϕ), -66.7%, time=9.00 [T]","(θ(4), ϕ), -66.7%, time=9.00 [T]","(θ(4), ϕ), -66.7%, time=9.00 [T]","(θ(4), ϕ), -66.7%, time=8.00 [T]","(θ(4), ϕ), -66.7%, time=8.00 [T]","(θ(3), ϕ), -80.0%, time=6.00 [T]"
103,103.0,"(θ(4), ϕ), -66.7%, time=10.00 [T]","(θ(4), ϕ), -66.7%, time=10.00 [T]","(θ(4), ϕ), -66.7%, time=10.00 [T]","(θ(4), ϕ), -66.7%, time=10.00 [T]","(θ(4), ϕ), -66.7%, time=10.00 [T]","(θ(4), ϕ), -66.7%, time=9.00 [T]","(θ(4), ϕ), -66.7%, time=9.00 [T]","(θ(3), ϕ), -80.0%, time=7.00 [T]"
104,104.0,"(θ(4), ϕ), -93.3%, time=0.00 ","(θ(4), ϕ), -93.3%, time=0.00 ","(θ(4), ϕ), -93.3%, time=0.00 ","(θ(4), ϕ), -93.3%, time=0.00 ","(θ(4), ϕ), -93.3%, time=0.00 ","(θ(4), ϕ), -66.7%, time=10.00 [T]","(θ(4), ϕ), -66.7%, time=10.00 [T]","(θ(3), ϕ), -80.0%, time=8.00 [T]"
105,105.0,"(θ(4), ϕ), -93.3%, time=1.00 ","(θ(4), ϕ), -93.3%, time=1.00 ","(θ(4), ϕ), -93.3%, time=1.00 ","(θ(4), ϕ), -93.3%, time=1.00 ","(θ(4), ϕ), -93.3%, time=1.00 ","(θ(4), ϕ), -93.3%, time=0.00 ","(θ(4), ϕ), -93.3%, time=0.00 ","(θ(3), ϕ), -80.0%, time=9.00 [T]"
106,106.0,"(θ(3), ϕ), -93.3%, time=0.00 [T]","(θ(3), ϕ), -93.3%, time=0.00 [T]","(θ(3), ϕ), -93.3%, time=0.00 [T]","(θ(3), ϕ), -93.3%, time=0.00 [T]","(θ(3), ϕ), -93.3%, time=0.00 [T]","(θ(4), ϕ), -93.3%, time=1.00 ","(θ(4), ϕ), -93.3%, time=1.00 ","(θ(3), ϕ), -80.0%, time=10.00 [T]"
107,107.0,"(θ(3), ϕ), -93.3%, time=1.00 [T]","(θ(3), ϕ), -93.3%, time=1.00 [T]","(θ(3), ϕ), -93.3%, time=1.00 [T]","(θ(3), ϕ), -93.3%, time=1.00 [T]","(θ(3), ϕ), -93.3%, time=1.00 [T]","(θ(3), ϕ), -93.3%, time=0.00 [T]","(θ(3), ϕ), -93.3%, time=0.00 [T]","(θ(3), ϕ), -106.7%, time=0.00 "
108,108.0,"(θ(3), ϕ), -93.3%, time=2.00 [T]","(θ(3), ϕ), -93.3%, time=2.00 [T]","(θ(3), ϕ), -93.3%, time=2.00 [T]","(θ(3), ϕ), -93.3%, time=2.00 [T]","(θ(3), ϕ), -93.3%, time=2.00 [T]","(θ(3), ϕ), -93.3%, time=1.00 [T]","(θ(3), ϕ), -93.3%, time=1.00 [T]","(θ(3), ϕ), -106.7%, time=1.00 "
109,109.0,"(θ(3), ϕ), -93.3%, time=3.00 [T]","(θ(3), ϕ), -93.3%, time=3.00 [T]","(θ(3), ϕ), -93.3%, time=3.00 [T]","(θ(3), ϕ), -93.3%, time=3.00 [T]","(θ(3), ϕ), -93.3%, time=3.00 [T]","(θ(3), ϕ), -93.3%, time=2.00 [T]","(θ(3), ϕ), -93.3%, time=2.00 [T]","(O(1), o), -106.7%, time=0.00 [T]"
110,110.0,"(θ(3), ϕ), -93.3%, time=4.00 [T]","(θ(3), ϕ), -93.3%, time=4.00 [T]","(θ(3), ϕ), -93.3%, time=4.00 [T]","(θ(3), ϕ), -93.3%, time=4.00 [T]","(θ(3), ϕ), -93.3%, time=4.00 [T]","(θ(3), ϕ), -93.3%, time=3.00 [T]","(θ(3), ϕ), -93.3%, time=3.00 [T]","(O(1), o), -106.7%, time=1.00 [T]"
111,111.0,"(θ(3), ϕ), -93.3%, time=5.00 [T]","(θ(3), ϕ), -93.3%, time=5.00 [T]","(θ(3), ϕ), -93.3%, time=5.00 [T]","(θ(3), ϕ), -93.3%, time=5.00 [T]","(θ(3), ϕ), -93.3%, time=5.00 [T]","(θ(3), ϕ), -93.3%, time=4.00 [T]","(θ(3), ϕ), -93.3%, time=4.00 [T]","(O(1), o), -106.7%, time=2.00 [T]"
112,112.0,"(θ(3), ϕ), -93.3%, time=6.00 [T]","(θ(3), ϕ), -93.3%, time=6.00 [T]","(θ(3), ϕ), -93.3%, time=6.00 [T]","(θ(3), ϕ), -93.3%, time=6.00 [T]","(θ(3), ϕ), -93.3%, time=6.00 [T]","(θ(3), ϕ), -93.3%, time=5.00 [T]","(θ(3), ϕ), -93.3%, time=5.00 [T]","(O(1), o), -106.7%, time=3.00 [T]"
113,113.0,"(θ(3), ϕ), -93.3%, time=7.00 [T]","(θ(3), ϕ), -93.3%, time=7.00 [T]","(θ(3), ϕ), -93.3%, time=7.00 [T]","(θ(3), ϕ), -93.3%, time=7.00 [T]","(θ(3), ϕ), -93.3%, time=7.00 [T]","(θ(3), ϕ), -93.3%, time=6.00 [T]","(θ(3), ϕ), -93.3%, time=6.00 [T]","(O(1), o), -106.7%, time=4.00 [T]"
114,114.0,"(θ(3), ϕ), -93.3%, time=8.00 [T]","(θ(3), ϕ), -93.3%, time=8.00 [T]","(θ(3), ϕ), -93.3%, time=8.00 [T]","(θ(3), ϕ), -93.3%, time=8.00 [T]","(θ(3), ϕ), -93.3%, time=8.00 [T]","(θ(3), ϕ), -93.3%, time=7.00 [T]","(θ(3), ϕ), -93.3%, time=7.00 [T]","(O(1), o), -106.7%, time=5.00 [T]"
115,115.0,"(θ(3), ϕ), -93.3%, time=9.00 [T]","(θ(3), ϕ), -93.3%, time=9.00 [T]","(θ(3), ϕ), -93.3%, time=9.00 [T]","(θ(3), ϕ), -93.3%, time=9.00 [T]","(θ(3), ϕ), -93.3%, time=9.00 [T]","(θ(3), ϕ), -93.3%, time=8.00 [T]","(θ(3), ϕ), -93.3%, time=8.00 [T]","(O(1), o), -106.7%, time=6.00 [T]"
116,116.0,"(θ(3), ϕ), -93.3%, time=10.00 [T]","(θ(3), ϕ), -93.3%, time=10.00 [T]","(θ(3), ϕ), -93.3%, time=10.00 [T]","(θ(3), ϕ), -93.3%, time=10.00 [T]","(θ(3), ϕ), -93.3%, time=10.00 [T]","(θ(3), ϕ), -93.3%, time=9.00 [T]","(θ(3), ϕ), -93.3%, time=9.00 [T]","(O(1), o), -106.7%, time=7.00 [T]"
117,117.0,"(θ(3), ϕ), -120.0%, time=0.00 ","(θ(3), ϕ), -120.0%, time=0.00 ","(θ(3), ϕ), -120.0%, time=0.00 ","(θ(3), ϕ), -120.0%, time=0.00 ","(θ(3), ϕ), -120.0%, time=0.00 ","(θ(3), ϕ), -93.3%, time=10.00 [T]","(θ(3), ϕ), -93.3%, time=10.00 [T]","(O(1), o), -106.7%, time=8.00 [T]"
118,118.0,"(θ(3), ϕ), -120.0%, time=1.00 ","(θ(3), ϕ), -120.0%, time=1.00 ","(θ(3), ϕ), -120.0%, time=1.00 ","(θ(3), ϕ), -120.0%, time=1.00 ","(θ(3), ϕ), -120.0%, time=1.00 ","(θ(3), ϕ), -120.0%, time=0.00 ","(θ(3), ϕ), -120.0%, time=0.00 ","(O(1), o), -106.7%, time=9.00 [T]"
119,119.0,"(O(1), o), -120.0%, time=0.00 [T]","(O(1), o), -120.0%, time=0.00 [T]","(O(1), o), -120.0%, time=0.00 [T]","(O(1), o), -120.0%, time=0.00 [T]","(O(1), o), -120.0%, time=0.00 [T]","(θ(3), ϕ), -120.0%, time=1.00 ","(θ(3), ϕ), -120.0%, time=1.00 ","(O(1), o), -106.7%, time=10.00 [T]"
120,120.0,"(O(1), o), -120.0%, time=1.00 [T]","(O(1), o), -120.0%, time=1.00 [T]","(O(1), o), -120.0%, time=1.00 [T]","(O(1), o), -120.0%, time=1.00 [T]","(O(1), o), -120.0%, time=1.00 [T]","(O(1), o), -120.0%, time=0.00 [T]","(O(1), o), -120.0%, time=0.00 [T]","(O(1), o), -133.3%, time=0.00 "
121,121.0,"(O(1), o), -120.0%, time=2.00 [T]","(O(1), o), -120.0%, time=2.00 [T]","(O(1), o), -120.0%, time=2.00 [T]","(O(1), o), -120.0%, time=2.00 [T]","(O(1), o), -120.0%, time=2.00 [T]","(O(1), o), -120.0%, time=1.00 [T]","(O(1), o), -120.0%, time=1.00 [T]","(O(1), o), -133.3%, time=1.00 "
122,122.0,"(O(1), o), -120.0%, time=3.00 [T]","(O(1), o), -120.0%, time=3.00 [T]","(O(1), o), -120.0%, time=3.00 [T]","(O(1), o), -120.0%, time=3.00 [T]","(O(1), o), -120.0%, time=3.00 [T]","(O(1), o), -120.0%, time=2.00 [T]","(O(1), o), -120.0%, time=2.00 [T]","(θ(0), ϕ), -133.3%, time=0.00 [T]"
123,123.0,"(O(1), o), -120.0%, time=4.00 [T]","(O(1), o), -120.0%, time=4.00 [T]","(O(1), o), -120.0%, time=4.00 [T]","(O(1), o), -120.0%, time=4.00 [T]","(O(1), o), -120.0%, time=4.00 [T]","(O(1), o), -120.0%, time=3.00 [T]","(O(1), o), -120.0%, time=3.00 [T]","(θ(0), ϕ), -133.3%, time=1.00 [T]"
124,124.0,"(O(1), o), -120.0%, time=5.00 [T]","(O(1), o), -120.0%, time=5.00 [T]","(O(1), o), -120.0%, time=5.00 [T]","(O(1), o), -120.0%, time=5.00 [T]","(O(1), o), -120.0%, time=5.00 [T]","(O(1), o), -120.0%, time=4.00 [T]","(O(1), o), -120.0%, time=4.00 [T]","(θ(0), ϕ), -133.3%, time=2.00 [T]"
125,125.0,"(O(1), o), -120.0%, time=6.00 [T]","(O(1), o), -120.0%, time=6.00 [T]","(O(1), o), -120.0%, time=6.00 [T]","(O(1), o), -120.0%, time=6.00 [T]","(O(1), o), -120.0%, time=6.00 [T]","(O(1), o), -120.0%, time=5.00 [T]","(O(1), o), -120.0%, time=5.00 [T]","(θ(0), ϕ), -133.3%, time=3.00 [T]"
126,126.0,"(O(1), o), -120.0%, time=7.00 [T]","(O(1), o), -120.0%, time=7.00 [T]","(O(1), o), -120.0%, time=7.00 [T]","(O(1), o), -120.0%, time=7.00 [T]","(O(1), o), -120.0%, time=7.00 [T]","(O(1), o), -120.0%, time=6.00 [T]","(O(1), o), -120.0%, time=6.00 [T]","(θ(0), ϕ), -133.3%, time=4.00 [T]"
127,127.0,"(O(1), o), -120.0%, time=8.00 [T]","(O(1), o), -120.0%, time=8.00 [T]","(O(1), o), -120.0%, time=8.00 [T]","(O(1), o), -120.0%, time=8.00 [T]","(O(1), o), -120.0%, time=8.00 [T]","(O(1), o), -120.0%, time=7.00 [T]","(O(1), o), -120.0%, time=7.00 [T]","(θ(0), ϕ), -133.3%, time=5.00 [T]"
128,128.0,"(O(1), o), -120.0%, time=9.00 [T]","(O(1), o), -120.0%, time=9.00 [T]","(O(1), o), -120.0%, time=9.00 [T]","(O(1), o), -120.0%, time=9.00 [T]","(O(1), o), -120.0%, time=9.00 [T]","(O(1), o), -120.0%, time=8.00 [T]","(O(1), o), -120.0%, time=8.00 [T]","(θ(0), ϕ), -133.3%, time=6.00 [T]"
129,129.0,"(O(1), o), -120.0%, time=10.00 [T]","(O(1), o), -120.0%, time=10.00 [T]","(O(1), o), -120.0%, time=10.00 [T]","(O(1), o), -120.0%, time=10.00 [T]","(O(1), o), -120.0%, time=10.00 [T]","(O(1), o), -120.0%, time=9.00 [T]","(O(1), o), -120.0%, time=9.00 [T]","(θ(0), ϕ), -133.3%, time=7.00 [T]"
130,130.0,"(O(1), o), -146.7%, time=0.00 ","(O(1), o), -146.7%, time=0.00 ","(O(1), o), -146.7%, time=0.00 ","(O(1), o), -146.7%, time=0.00 ","(O(1), o), -146.7%, time=0.00 ","(O(1), o), -120.0%, time=10.00 [T]","(O(1), o), -120.0%, time=10.00 [T]","(θ(0), ϕ), -133.3%, time=8.00 [T]"
131,131.0,"(O(1), o), -146.7%, time=1.00 ","(O(1), o), -146.7%, time=1.00 ","(O(1), o), -146.7%, time=1.00 ","(O(1), o), -146.7%, time=1.00 ","(O(1), o), -146.7%, time=1.00 ","(O(1), o), -146.7%, time=0.00 ","(O(1), o), -146.7%, time=0.00 ","(θ(0), ϕ), -133.3%, time=9.00 [T]"
132,132.0,"(θ(0), ϕ), -146.7%, time=0.00 [T]","(θ(0), ϕ), -146.7%, time=0.00 [T]","(θ(0), ϕ), -146.7%, time=0.00 [T]","(θ(0), ϕ), -146.7%, time=0.00 [T]","(θ(0), ϕ), -146.7%, time=0.00 [T]","(O(1), o), -146.7%, time=1.00 ","(O(1), o), -146.7%, time=1.00 ","(θ(0), ϕ), -133.3%, time=10.00 [T]"
